,Début,Fin,Rendement(%),Volatilité(%),Secteur
AGL.JO,9737.6181640625,50280.0,416.3480345282235,40.841841671474015,Resources
AMS.JO,18015.244140625,63919.0,254.80507231018,45.56402778429037,Resources
GFI.JO,2468.642333984375,41901.0,1597.3297193835292,49.37781792614843,Resources
IMP.JO,3021.364990234375,11087.0,266.9533484314304,49.08234656390737,Resources
SOL.JO,4868.0927734375,6415.0,31.776453296106432,44.06733571843788,Resources
SBK.JO,2471.444580078125,23171.0,837.5488403331925,1989.1001685276128,Financials
FSR.JO,639.3743896484375,7263.0,1035.9541635681699,31.847310582987507,Financials
NED.JO,13437.7900390625,25345.0,88.60988247564714,31.960889032189613,Financials
ABG.JO,2753.324462890625,17075.0,520.1593829618438,31.959465446727485,Financials
CPI.JO,131.71678161621094,344161.4375,261188.98176604294,61.43315595147734,Financials
DSY.JO,1010.6513671875,20599.0,1938.1904847488713,29.906664414646407,Financials
BAW.JO,1921.4061279296875,10850.0,464.6906108127625,33.75695049534356,Industrials
SHP.JO,883.5662841796875,28553.0,3131.5628732380746,29.805691781529376,Industrials
PIK.JO,1035.7161865234375,2797.0,170.05467679216443,30.26859912094103,Industrials
AVI.JO,573.1155395507812,9040.0,1477.3433760120554,27.638848592203768,Industrials
NPN.JO,3573.536376953125,489229.0,13590.332163824993,38.286255792725676,Technology
MTN.JO,2306.507080078125,12271.0,432.01657631956465,39.93429595320889,Technology
BTI.JO,3176.007568359375,80450.0,2433.054417170609,26.4738071861814,Consumer
REM.JO,725.6581420898438,15988.0,2103.241316076975,25.699116050942838,Consumer
CLH.JO,190.1448211669922,407.0,114.0473758381027,33.75643705618589,Consumer
TRU.JO,1204.7481689453125,7430.0,516.7263990535497,34.831938500345174,Consumer
MRP.JO,683.6431884765625,23706.0,3367.5983611899496,34.12494340131113,Consumer
NTC.JO,81.27491760253906,1364.0,1578.2545467107163,29.81621879169103,Healthcare
APN.JO,398.8851013183594,12175.0,2952.2573943625066,33.99999302960775,Healthcare
ADH.JO,110.68544006347656,3085.0,2687.177788000658,46.46457244884635,Healthcare
MUR.JO,398.8788146972656,1.100000023841858,-99.72422701248831,50.90976032182283,Construction
WBO.JO,497.2521057128906,19214.0,3764.0359244841507,30.812605521771474,Construction
RLO.JO,848.0079956054688,6187.0,629.5921774396181,28.87512203008454,Construction
AEG.JO,113460.1015625,650.0,-99.42711138889476,139.68898345636248,Construction
